WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
AKTIE,aktie,N,0.6,1.0749677,2.157894737,1.067872126,4.111111111,1.452966315,5,5,3,83.66666667,1,93,1,93,112207.25,1
AKTION,aktion,N,1,0.816496581,2.944444444,0.998364676,2.555555556,1.509230856,6,6,3,82.83333333,0,0,0,0,66624,3
AKTIV,aktiv,A,1.6,0.52,3.263157895,1.097578408,3.44,1.51,5,5,2,93,1,502,1,502,41896.5,2
AKTIVITÄT,aktivität,N,1.705882353,1.000890869,3.315789474,1.335524515,4.115384615,1.728049145,9,9,4,37.66666667,0,0,0,0,67697.16667,4
AKZENT,akzent,N,0,0.666666667,3.210526316,1.134261746,3.888888889,1.763834207,6,6,2,11.33333333,1,1.67,0,0,245421.6,2
ALARM,alarm,N,-1.4,0.59824304,4.444444444,0.615698763,3.54545455,1.43849368,5,5,2,5.5,0,0,0,0,90714.25,2
ALBERN,albern,A,-0.2,1.14,3.052631579,0.970319776,4,1.58,6,6,2,5.333333333,1,6,1,6,415795.6,1
ALBUM,album,N,0.8,0.95145318,2.476190476,1.167006753,4.40909091,1.73641916,5,5,2,1.166666667,0,0,0,0,58804,1
ALKOHOL,alkohol,N,-0.1,0.737864787,3.5,0.966091783,5.333333333,1.5,7,7,3,12.5,0,0,0,0,55791.33333,2
ALLEE,allee,N,1.2,0.632455532,1.333333333,0.48507125,6.333333333,0.5,5,3,2,20.33333333,2,0,0,0,114817.25,2
ALLEIN,allein,A,-1.8,1.03,2.45,1.316894273,3.33,1.5,6,4,2,303,0,0,0,0,330275.2,2
ALLTAG,alltag,N,-0.1,0.875595036,2.25,0.856348839,3.222222222,1.481365736,6,5,2,19.33333333,0,0,0,0,94183.8,1
ALMOSEN,almosen,N,-0.8,0.918936583,2.666666667,1.016530045,4.111111111,1.269295518,7,7,3,0.833333333,0,0,0,0,259164.8333,1
ALPDRUCK,alpdruck,N,-1.9,1.197219,3.166666667,1.150447483,2.888888889,2.02758751,8,7,2,1.333333333,0,0,0,0,44773,1
ALPTRAUM,alptraum,N,-2.8,0.632455532,4.529411765,0.624264273,4.666666667,1.936491673,8,7,2,2.666666667,0,0,0,0,87550.42857,1
ALTAR,altar,N,0.3,1.71985311,2.35,1.348488433,5.13636364,1.35560405,5,5,2,8,2,52.5,1,52.33,93646.25,2
ALTBAU,altbau,N,0.7,1.251665557,2.526315789,1.073334423,5.888888889,0.78173596,6,5,2,2.166666667,0,0,0,0,93236.8,1
ALTER,alter,N,-0.55,1.23437604,2.047619048,1.116968687,3.13636364,1.98315416,5,5,2,52.33333333,4,93.67,1,84.17,490782.5,1
ALTKLUG,altklug,A,-1.1,0.57,2.210526316,1.357241785,2.89,1.76,7,7,2,0.5,0,0,0,0,47120.33333,1
AMATEUR,amateur,N,-0.3,1.059349905,2.5,0.707106781,2.555555556,0.726483157,7,6,3,10.16666667,0,0,0,0,99813.83333,3
AMBO√ü,amboß,N,-0.32,1.36,2.32,1.09,4.64,2.22,5,,2,0.5,0,0,0,0,31404.2,
AMERIKA,amerika,N,0.4,1.429840706,3.055555556,0.998364676,5,1,7,7,4,133,0,0,0,0,301998.5,2
AMI,ami,N,-0.4,1.173787791,2.714285714,1.146423008,4.111111111,2.204792759,3,3,2,3,1,116.83,1,116.83,76345.5,1
AMPEL,ampel,N,-0.7,0.80131471,2.678571429,1.123933945,5.90909091,1.50899181,5,5,2,2.333333333,1,1.17,0,0,55991.5,1
AMPULLE,ampulle,N,-0.73,1.2,3.14,1.28,3.82,1.62,7,6,3,0.67,0,0,0,0,63073.66667,2
AMSEL,amsel,N,1.15,0.98808693,1.8,0.894427191,5.63636364,1.64882222,5,5,2,1.166666667,2,2.33,1,2.33,129418.75,1
AMT,amt,N,-0.7,0.674948558,2.526315789,1.389181256,4.222222222,1.092906421,3,3,1,116.8333333,7,1089.83,2,1014.5,27381,1
AMULETT,amulett,N,0.9,0.737864787,2.368421053,1.011628298,5.666666667,1.414213562,7,6,3,1.5,0,0,0,0,60868,3
ANBAHNEN,anbahnen,V,0.2,0.63,2.944444444,1.055641551,2.44,1.51,8,7,3,5,1,2,0,0,225775.5714,1
ANBAU,anbau,N,0.85,0.87509398,1.578947368,0.837707817,3.18181818,1.53177033,5,4,2,6.833333333,1,14.5,1,14.5,125398.5,1
ANBIETEN,anbieten,V,0.676470588,0.911894074,1.736842105,0.805681579,3.576923077,1.724484315,8,7,3,69.16666667,1,0.83,0,0,280305.5714,1
ÄNDERUNG,änderung,N,0.352941176,1.252448582,2.833333333,0.985184366,2.769230769,1.557117653,8,7,3,59.33333333,0,0,0,0,564081.1667,1
ANEKDOTE,anekdote,N,0.8,1.032795559,2.619047619,1.244033379,2.333333333,1,8,8,4,7.166666667,0,0,0,0,106382.8571,3
ANEKELN,anekeln,V,-2.1,0.57,3.607142857,1.13330999,4.33,1.58,7,7,3,1.166666667,0,0,0,0,110410.1667,1
ANERKENNEN,anerkennen,V,1.588235294,1.018544626,3,1.264911064,2.269230769,1.686598762,10,9,4,60.66666667,0,49,0,0,485222,1
ANFALL,anfall,N,-1.7,1.21828179,3.888888889,0.963381843,3.5,1.33630621,6,5,2,4.833333333,2,61.17,2,61.17,116833.2,1
ANFALLEN,anfallen,V,-0.9,0.74,3.789473684,0.976328005,3.89,1.62,8,7,3,3.166666667,1,29,1,29,255215.7143,1
ANFANG,anfang,N,0.8,0.788810638,3,1.224744871,2.444444444,1.130388331,6,5,2,170,1,5.17,0,0,145686.4,1
ANFLUG,anflug,N,0.5,1,2.473684211,1.218761715,3.18181818,1.73579579,6,6,2,3.833333333,1,4.33,1,4.33,63915.4,1
